Team name,Player name,Number,Position,Url,Mugshot
NLEX,Dominick Fajardo,9,Forward,https://www.pba.ph/players/dominick-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
TerraFirma,Kevin Ferrer,77,SG,https://www.pba.ph/players/kevin-ferrer,https://dashboard.pba.ph/assets/players/Ferrer-v2.png
North Port,Cade Flores,22,C/F,https://www.pba.ph/players/cade-flores,https://dashboard.pba.ph/assets/players/C_Flores23.png
Converge,Inand Fornilos,0,F/G,https://www.pba.ph/players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
Converge,Inand Fornilos,0,Forward,https://www.pba.ph/players/inand-fornilos,https://dashboard.pba.ph/assets/players/Fornilos23.png
Talk N Text,Henry Galinato,32,Forward,https://www.pba.ph/players/henry-galinato,https://dashboard.pba.ph/assets/players/Galinato23.png
Talk N Text,Henry Galinato Jr.,32,C/F,https://www.pba.ph/players/henry-galinato-jr.,http://se-img.dcd-production.i.geniussports.com/f8824fcbee03c8ec174ca440d225c318T1.png
Talk N Text,Brandon Arnell Ganuelas-Rosser,99,C/F,https://www.pba.ph/players/brandon-arnell-ganuelas-rosser,https://dashboard.pba.ph/assets/players/24BGR.png
Talk N Text,Matt Ganuelas-Rosser,24,F,https://www.pba.ph/players/matt-ganuelas-rosser,https://dashboard.pba.ph/assets/players/Rosse23r.png
Phoenix,RR Garcia,8,G,https://www.pba.ph/players/rr-garcia,https://dashboard.pba.ph/assets/players/Garcia.23png.png
TerraFirma,George Isaac Go,11,C/F,https://www.pba.ph/players/george-isaac-go,https://dashboard.pba.ph/assets/players/Go23.png
TerraFirma,Javier Gomez De Liano,22,F/G,https://www.pba.ph/players/javier-gomez-de-liano,https://dashboard.pba.ph/assets/players/Gomez_de_Lia23no.png
Blackwater,Bradwyn Guinto,5,C/F,https://www.pba.ph/players/bradwyn-guinto,https://dashboard.pba.ph/assets/players/Guinto_23.png
Ginebra San Miguel,Donald Gumaru,20,G,https://www.pba.ph/players/donald-gumaru,https://dashboard.pba.ph/assets/players/Gumaru.png
NLEX,Robert Conrad Herndon,11,G,https://www.pba.ph/players/robert-conrad-herndon,https://dashboard.pba.ph/assets/players/Herndo23n.png
Talk N Text,Brian Heruela,13,G,https://www.pba.ph/players/brian-heruela,https://dashboard.pba.ph/assets/players/Heruela23.png
Blackwater,Tyrus Hill,9,C/F,https://www.pba.ph/players/tyrus-hill,https://dashboard.pba.ph/assets/players/Hillichurls.png
Meralco,Cliff Hodge,7,F,https://www.pba.ph/players/cliff-hodge,https://dashboard.pba.ph/assets/players/Hodge23.png
TerraFirma,Stephen Jeffrey Holt,2,F/G,https://www.pba.ph/players/stephen-jeffrey-holt,http://se-img.dcd-production.i.geniussports.com/8117923df05d4d97b091809b6174a218T1.png
Talk N Text,Rahlir Hondae-Jefferson,0,Forward,https://www.pba.ph/players/rahlir-hondae-jefferson,https://dashboard.pba.ph/assets/players/mensplaceholder.png
